"Country","CC","CF","GDP","RE","CHE","CHE_GDP","CO2","CO2m","IMD","IMH","IMM","F","Sanitation","Water","U","Tobacco","Tobacco_fem","Tobacco_m","PM","Mortality","Deaths","OAP","OAPc","Population","Population_m","Population_f","pm_category","Region","Mortality_Category"
"BURKINA FASO","BFA",10.3,772.166877547544,67.2,41.07073212,5.38121271,5646.5,0.26950158887331,91,91,88,4.971,22.8240692453658,49.0028525018525,14.1,14.9,6.9,22.8,53.67033962,88.2,66533,34.69356155,14.24889954,20951639,10431262,10520378,"Very High","Sub-Saharan Africa","High"
"CABO VERDE","CPV",79.7,3928.30909558631,22.41,173.98080444,5.06559896,617.2,1.06961509800184,96,97,98,1.932,78.8249564795012,88.5908710915054,14.5,11.7,5.6,17.7,51.11721004,15,153,26.75374603,46.54638289,577030,286974,290056,"Very High","Sub-Saharan Africa","Low"
"CAMBODIA","KHM",34.5,1671.38540009767,53.05,115.25953674,6.89604807,18093.2,1.11633042620485,92,92,84,2.402,66.957416421946,75.3367210731245,6,21.9,6.3,37.4,22.1120864,26.8,8893,64.39125061,74.21705955,16207746,8021264,8186482,"Moderate","East Asia and Pacific","High"
"CAMEROON","CMR",22.7,1538.68791202148,78.79,56.18640518,3.65157914,9557.3,0.370691707164993,67,67,60,4.623,42.4008580058119,67.9904842171552,6.7,7.5,1.5,13.5,64.47088106,75.1,68152,72.18878174,40.56028247,25782341,12855489,12926852,"Very High","Sub-Saharan Africa","High"
"CHAD","TCD",6.6,701.621200811434,72.78,30.53188515,4.47938061,1583.6,0.0981963885605548,50,50,41,6.412,12.2940188961564,50.4980643454126,31.7,8.5,2.8,14.2,59.2825236,114.3,77923,62.62454605,19.12045365,16126866,8094822,8032044,"Very High","Sub-Saharan Africa","High"
"CHILE","CHL",100,14627.14501648,25.27,1369.48400879,9.33272266,91915.4,4.82762007480769,96,96,95,1.545,100,100,2.6,29.9,27.5,32.3,22.76585719,7.1,1599,32.80002975,449.19116365,19039485,9450404,9589082,"Moderate","Latin America and Caribbean","Low"
"CHINA","CHN",79.4,10143.8602060373,14.33,539.6194458,5.3502779,10762824,7.64543578560038,99,99,99,1.496,91.2881365395444,95.3173719016687,2.5,25.7,1.7,49.7,47.67263439,8,125692,35.23001862,190.1080505,1407745000,719565010,688179990,"High","East Asia and Pacific","Low"
"COLOMBIA","COL",92.1,6436.50921529531,31.5,522.54925537,8.1165638,79186.7,1.57782014077396,94,92,95,1.765,92.151091537794,96.8925246726353,7.2,8.8,4.7,12.8,22.01072747,13.7,10009,14.12572575,73.81387538,50187406,24779301,25408106,"Moderate","Latin America and Caribbean","Low"
"CONGO, DEM. REP.","COD",4.2,575.882781272568,96.29,19.85771751,3.54229975,3031.2,0.0337148799163223,73,73,65,6.253,16.4166624601584,35.678057309253,37.7,13,3.1,22.9,35.86088793,84.4,312418,38.49700546,7.64462581,89906890,44600412,45306478,"High","Sub-Saharan Africa","High"
"CONGO, REP.","COG",32.2,2288.80808614703,69.97,58.90272522,2.56553078,7006.1,1.25766214248646,79,79,73,4.296,20.3642631107744,73.5958698078761,29.9,14.3,2.2,26.4,39.30341272,52.4,9202,42.17203903,24.84047787,5570733,2781753,2788979,"High","Sub-Saharan Africa","High"
"COSTA RICA","CRI",95.4,12669.3411617396,33.42,914.88470459,7.2212491,7956.4,1.56482445188662,95,97,95,1.632,97.8532216953258,99.7975293659545,3.4,9.1,4.8,13.4,17.42174135,8.2,550,22.32456398,204.24403784,5084532,2546376,2538156,"Moderate","Latin America and Caribbean","Low"
"COTE D'IVOIRE","CIV",28.7,2290.78737894782,62.41,73.64801652,3.28960407,10838.9,0.414528305155615,81,81,73,4.538,34.7779674572536,72.541058171011,4.7,9.7,0.9,18.5,55.62337378,79.7,70460,37.26046365,27.44159242,26147551,13218128,12929424,"Very High","Sub-Saharan Africa","High"
"CUBA","CUB",94,9139.41585605765,23.14,1013.10137939,11.08496857,24418.5,2.15774090266798,99,99,99,1.551,90.6561903272549,94.1484823370466,2.5,18.7,10.9,26.4,17.72659724,5.2,599,10.85016251,109.92314316,11316697,5628282,5688414,"Moderate","Latin America and Caribbean","Low"
"CYPRUS","CYP",100,29417.921875,11.97,2043.67858887,6.94943047,7191,5.85187933947248,96,94,86,1.332,99.3958159908827,99.7651923631792,2.5,35.5,23.2,47.7,15.57380293,2.8,37,32.12443161,656.52014389,1228836,615637,613199,"Moderate","Europe and Central Asia","Low"
"CZECHIA","CZE",100,23664.8478631108,15.88,1803.05273438,7.60487127,97712.9,9.15611790623386,97,97,92,1.71,99.1371345347108,99.8804688935076,2.5,30.9,26.5,35.2,16.75140093,3,335,14.09247494,254.09473064,10671870,5255756,5416114,"Moderate","Europe and Central Asia","Low"
"DOMINICAN REPUBLIC","DOM",90.9,8173.34464573914,14.89,346.50790405,4.23948717,25775.2,2.36863439614581,89,87,96,2.344,87.2031083799599,96.1401141515674,7,10.9,6.8,15,17.72938154,34.3,7250,27.94108391,96.81806168,10881882,5472410,5409472,"Moderate","Latin America and Caribbean","High"
"ECUADOR","ECU",94.5,6233.25816692363,17.73,487.33145142,7.81824636,39631.4,2.28505501120289,85,85,83,2.088,90.0032406646583,95.0112246263964,13.7,11.6,4.3,18.9,19.97447395,13.4,4014,30.87841606,150.48022657,17343740,8672767,8670974,"Moderate","Latin America and Caribbean","Low"
"EGYPT, ARAB REP.","EGY",99.9,3017.25833578941,6.23,145.3107605,4.83619261,217908.3,2.06316078338081,95,95,95,3.001,97.2005582635653,98.7614152226307,5,24.4,0.4,48.3,67.88817813,20.3,51294,62.50626373,90.8283265,105618671,53429404,52189268,"Very High","Middle East and North Africa","Low"
"EL SALVADOR","SLV",90.7,4280.28840404719,19.38,364.13085938,8.502141,7912.7,1.25994054027114,81,81,82,1.838,86.8216058122908,97.8203480942147,8.3,8.3,1.8,14.7,22.32472418,13.3,1394,36.01626587,131.14634278,6280217,2992539,3287678,"Moderate","Latin America and Caribbean","Low"
"ESTONIA","EST",100,23424.4847073513,31.34,1598.83752441,6.82277584,10060.7,7.58212010267556,91,91,88,1.66,99.0771583771511,99.9872873090016,2.5,30.5,23.5,37.4,5.893562381,2.3,32,24.0690937,384.82566312,1326898,627427,699471,"Low","Europe and Central Asia","Low"
"ESWATINI","SWZ",54.7,3818.54042507683,65.47,259.24450684,6.74539423,1169.5,0.999903386846761,90,90,81,2.921,64.5214314372907,70.4275345963468,11.1,9.3,1.9,16.7,23.34521196,56.9,1697,10.58059025,27.42960165,1169613,579801,589812,"Moderate","Sub-Saharan Africa","High"
"ETHIOPIA","ETH",6.2,840.449603427131,89.5,26.22917175,3.23382378,17708,0.155169188831947,68,68,58,4.323,8.65203916056794,47.2539785569372,21.9,5.2,1.4,9,33.7807199,50.9,185220,37.9252243,9.94747167,114120594,57375433,56745161,"High","Sub-Saharan Africa","High"
"FIJI","FJI",47.9,5968.31955666383,26.48,228.35894775,3.81606841,1393.5,1.51720533716581,99,99,96,2.519,93.7099411678697,95.3833140482255,4.9,23.4,10.6,36.2,10.9932094,26.9,502,13.19460773,30.13106855,918465,461366,457099,"Moderate","East Asia and Pacific","High"
"GAMBIA, THE","GMB",1.8,722.875350964205,47.32,22.83255005,3.158566,606.9,0.241900479217245,88,88,85,4.869,47.2014093324921,83.8990207770481,18,11.6,0.9,22.2,58.08072376,51.5,4380,20.21388626,4.61534544,2508883,1247342,1261541,"Very High","Sub-Saharan Africa","High"
"GEORGIA","GEO",87.6,4696.15058555612,24.69,308.56665039,6.65744209,10549.6,2.83579124666916,94,94,99,2.011,86.5320783368937,94.4360269319349,7.8,31.7,7,56.3,17.85586499,9.7,514,46.7677536,144.30969363,3720161,1750910,1969251,"Moderate","Europe and Central Asia","Low"
"GHANA","GHA",27.3,2167.92544002254,42.6,73.52350616,3.39142489,18039.1,0.572264895729339,97,97,92,3.683,24.9960729195517,85.2423371017475,5.2,3.6,0.4,6.8,53.98926008,47.2,42193,35.78432083,26.30988644,31522290,15723678,15798612,"Very High","Sub-Saharan Africa","High"
"GREECE","GRC",100,19144.2843875557,18.52,1569.02905273,8.20262337,59990.3,5.59528435262632,99,96,97,1.34,98.9902622377645,99.9999992981031,2.5,34.5,31.2,37.7,14.2538714,4,334,33.64272308,527.86407123,10721582,5254476,5467106,"Moderate","Europe and Central Asia","Low"
"GUATEMALA","GTM",46.3,4647.80734000427,62.82,278.54898071,6.18663979,19017.8,1.14537281500282,85,85,90,2.61,68.2436687072873,93.5077090807793,16.3,11,1.6,20.4,27.64788197,24.6,9791,55.9891777,155.95727486,16604026,8223795,8380231,"High","Latin America and Caribbean","Low"
"GUYANA","GUY",79.5,6477.29672607993,11.31,319.36257935,4.93049145,2795.9,3.50033114116629,99,99,98,2.44,89.1498898157526,94.9483638235288,5,12.6,2.5,22.7,20.10090382,29.4,481,34.83069611,111.23620258,798753,392821,405932,"Moderate","Latin America and Caribbean","High"
"HAITI","HTI",4.1,1345.47505482083,76.37,49.08564227,3.91107914,3317.34,0.297241022260954,51,51,65,2.919,36.9385275856622,66.3209862141568,46.4,7.9,3.2,12.5,19.03230796,62.5,16829,39.03829004,19.1621954,11160438,5535128,5625310,"Moderate","Latin America and Caribbean","High"
"INDIA","IND",63.3,2050.16378973235,33.27,60.66871643,2.94352531,2423951.4,1.75253436625037,91,91,95,2.109,69.6631460883283,91.5622211412629,14.6,28.1,13.7,42.4,83.19931634,34.3,819727,53.379879,32.38488775,1383112050,714325057,668786993,"Very High","South Asia","High"
"INDONESIA","IDN",81.6,4151.22755454135,19.77,120.58958435,2.90491366,605290.6,2.24528577070833,85,85,88,2.215,82.0727007179025,91.8137421547406,6.2,37.2,3.8,70.6,19.37146134,23.8,108758,34.76155853,41.91881496,269582878,135798442,133784436,"Moderate","East Asia and Pacific","Low"
"IRAN, ISLAMIC REP.","IRN",96.7,3276.75326508099,1,450.59701538,5.94786263,625251.5,7.22298000274987,99,99,99,1.77,90.0210873435845,97.3236128720162,4.9,14,3.3,24.7,38.01508315,13.5,19049,39.49374771,177.95764934,86564202,43792157,42772045,"High","Middle East and North Africa","Low"
"IRAQ","IRQ",99,5621.18169491752,1.04,239.57891846,4.25629616,180687.6,4.34726413932218,84,84,82,3.604,97.8648532741405,97.7787852249274,17.4,18.8,2,35.5,48.46825216,26.2,30399,50.09696198,120.02175982,41563520,20788703,20774818,"High","Middle East and North Africa","High"
"JAMAICA","JAM",84.2,5626.17040261069,9.2,343.06192017,6.09761,8394.3,2.98328969678791,96,96,94,1.37,86.6316041352183,90.997352554366,7.5,9.7,3.9,15.5,15.28940246,13.2,457,16.43945885,56.3975268,2813773,1396657,1417116,"Moderate","Latin America and Caribbean","Low"
"JORDAN","JOR",99.9,4159.67140765344,8.46,314.88452148,7.56996918,23147.9,2.16362144761182,89,89,87,2.918,97.2214886294743,98.9513662051964,14.6,34.6,12.7,56.5,30.64558855,15.5,3711,30.33984375,95.53546563,10698683,5555605,5143079,"High","Middle East and North Africa","Low"
"KAZAKHSTAN","KAZ",93.8,9812.59553636276,1.85,270.01306152,2.78745699,204592.2,11.0508703486337,97,97,99,2.9,97.8696948845301,95.4270288711281,2.5,23.5,6.9,40.1,20.29485447,10.2,4093,33.86382675,91.43675834,18513673,8890215,9623458,"Moderate","Europe and Central Asia","Low"
"KENYA","KEN",19.5,1970.0800629654,71.42,86.06783295,4.36111116,19481.9,0.382362032876395,91,91,89,3.469,35.2957947881613,60.8607832568561,25.6,11.5,2.9,20.1,21.61458718,39.4,57117,24.29976273,20.91427993,50951450,25272193,25679257,"Moderate","Sub-Saharan Africa","High"
"KIRIBATI","KIR",10,1410.01508996396,42.59,163.10388184,11.38678551,73.6,0.592397034795277,97,94,94,3.368,44.0010104812494,73.7493673795618,4,41.7,28.2,55.2,9.468882294,51.4,178,0.1049399,0.17116105,124241,60390,63851,"Low","East Asia and Pacific","High"
"KOREA, REP.","KOR",100,31902.4169048194,3.23,2595.22338867,8.14101028,612133.7,11.8252835873752,98,98,98,0.918,99.8540106204028,99.7657984771461,2.5,21.4,6,36.8,27.44033926,3.1,1025,30.24508095,784.92746245,51764822,25874966,25889856,"High","East Asia and Pacific","Low"
"KUWAIT","KWT",100,30666.2206640015,0.06,1643.56970215,5.35958719,93863.6,21.1352142487222,92,92,97,2.159,100,100,2.5,17.9,2.3,33.5,60.96648013,8.8,501,10.7205658,176.19997404,4441100,2738222,1702878,"Very High","Middle East and North Africa","Low"
"KYRGYZ REPUBLIC","KGZ",77.8,1374.03113638998,28.31,63.05092621,4.49454117,10017.4,1.55159381679626,95,95,96,3.3,97.7777140188615,89.8588080901834,5.2,27.6,3.3,51.8,24.07288994,18.3,3067,46.181427,29.11781778,6456200,3170125,3286075,"Moderate","Europe and Central Asia","Low"
"LAO PDR","LAO",7.9,2598.50552320723,48.72,67.81835938,2.60029101,19170.9,2.65817514097581,80,80,83,2.571,78.948092429375,85.099831820973,5.4,32.5,10.9,54.1,20.54733513,45.8,7516,41.83228683,28.36996937,7212053,3636206,3575847,"Moderate","East Asia and Pacific","High"
"LATVIA","LVA",100,17945.2222164981,41.48,1183.1151123,6.62088203,7569.1,3.95496550880907,99,99,99,1.61,92.4131252688765,98.7382545669579,2.5,37.2,23.8,50.6,12.01165835,4,77,35.22696686,416.77559009,1913822,883240,1030582,"Moderate","Europe and Central Asia","Low"
"LESOTHO","LSO",39.6,1094.49943775496,39.47,120.54795837,11.40502262,2300.1,1.03342675704115,87,87,90,3.094,48.4279247089124,72.8773752061875,31.2,24.4,5.7,43.1,27.52281327,77.2,4588,14.02660656,16.9087866,2225702,1097956,1127746,"High","Sub-Saharan Africa","High"
"LIBERIA","LBR",0.4,665.878447568436,89.71,52.09077454,8.4314146,1146.2,0.229916460209228,70,70,68,4.257,20.7619736101479,74.1609602963714,39.2,8.4,2.1,14.7,50.59973692,80.6,12791,54.36148071,28.31731741,4985289,2479442,2505847,"Very High","Sub-Saharan Africa","High"
"LITHUANIA","LTU",100,19598.4008704357,33.54,1369.97949219,6.99864721,11735.8,4.20015196105273,92,92,93,1.61,93.7683252267195,98.0014728864191,2.5,32.3,21.8,42.8,10.37350411,3.8,109,32.27022552,442.09547157,2794137,1306199,1487938,"Moderate","Europe and Central Asia","Low"
"MADAGASCAR","MDG",1.2,512.279665582666,82.52,19.35046577,3.77732444,3927.7,0.142653575143316,68,68,55,3.978,13.1693371507898,51.1722061354795,47.4,28.4,13.5,43.3,17.8593854,66.1,56281,32.26590347,6.24360273,27533134,13804538,13728596,"Moderate","Sub-Saharan Africa","High"
"MALAWI","MWI",1.8,584.362867276266,72.1,30.01859474,5.13698387,1643.7,0.0871188127927116,95,95,92,4.072,42.8038378125311,69.4648756261317,17.6,11.3,4.3,18.2,22.34665143,45.6,28268,16.86334229,5.06213825,18867337,9168342,9698995,"Moderate","Sub-Saharan Africa","High"
"MALAYSIA","MYS",94.9,11132.1034532052,5.59,427.46286011,3.83884454,244882,7.46499971649816,98,97,97,1.834,95.8802336493616,97.0903674239334,2.6,22.8,1.2,44.3,16.59099631,7.9,4058,36.0626564,154.15446906,32804020,16794024,16009996,"Moderate","East Asia and Pacific","Low"
"MALI","MLI",0.900000000000001,840.175746132551,66.91,32.61206436,3.88156676,3937.4,0.191438655613848,77,77,70,6.103,44.7976967244774,79.2797151051117,5.6,8.6,1.1,16.1,60.62414043,103.1,86719,30.97203636,10.10062056,20567424,10387581,10179843,"Very High","Sub-Saharan Africa","High"
"MALTA","MLT",100,31506.5568445964,7.4,2943.63134766,9.23917389,1658.6,3.29046823605033,98,98,96,1.14,99.9644988230789,100,2.5,24.5,21.8,27.1,12.9910498,6.1,27,34.13112259,1004.69440436,504062,259854,244207,"Moderate","Middle East and North Africa","Low"
"MAURITANIA","MRT",47.2,1839.96277798478,24.98,60.2051506,3.34527016,3824.8,0.872475306517173,80,80,75,4.521,49.5893944954558,72.5443131435372,9.2,11.1,2.2,19.9,66.8117824,43.2,6261,45.2381897,27.23571836,4383849,2145130,2238719,"Very High","Sub-Saharan Africa","High"
"MEXICO","MEX",84.6,10145.1526279593,10.27,552.70422363,5.44627905,451828.8,3.6121651406375,82,56,73,1.916,90.7765580654672,99.1153530172831,6,13.4,6.4,20.4,20.12401203,14.2,28548,42.28219223,233.69546815,125085311,61187228,63898082,"Moderate","Latin America and Caribbean","Low"
"MONGOLIA","MNG",49.9,4394.94715010112,3.32,182.86535645,4.16080856,23146.9,7.16083565614723,98,98,98,2.937,67.7923396064621,81.4356125956715,4,29.6,7.2,52,38.05757134,16,1206,30.96385384,56.62216557,3232430,1606094,1626335,"High","East Asia and Pacific","Low"
"MONTENEGRO","MNE",62,8909.65333601178,38.74,732.34954834,8.32983208,2601.1,4.18164455619361,85,62,33,1.77,97.5022993595498,98.6814038394913,2.5,31.8,31.3,32.3,21.25685256,2.7,20,38.55628967,282.36681476,622028,303303,318725,"Moderate","Europe and Central Asia","Low"
"MOROCCO","MAR",98.2,3498.58251953125,10.57,177.24794006,5.36818361,70986.3,1.95530801659126,99,99,99,2.382,86.3282340120945,84.9818507597581,4.4,14.9,0.9,28.8,35.05284088,19.5,13127,46.10972214,81.7285313,36304408,18281786,18022621,"High","Middle East and North Africa","Low"
"MOZAMBIQUE","MOZ",4.9,508.163403756662,78.34,40.41281128,7.95271826,7530.2,0.248639658557146,88,88,87,4.783,33.350311214661,57.5753680766886,31.8,14.8,5.9,23.7,20.77406654,73.5,80655,9.52183533,3.84804143,30285595,14851787,15433808,"Moderate","Sub-Saharan Africa","High"
"MYANMAR","MMR",35.2,1295.20148745222,58.89,61.15328217,4.67856407,33995,0.640928810767197,90,90,84,2.2,73.1653187541976,78.9093353384479,2.5,45.1,20.8,69.4,29.43314277,44.8,41910,75.95468903,46.44878506,53040212,26423311,26616900,"High","East Asia and Pacific","High"
"NAMIBIA","NAM",46.5,5126.17614281673,30.23,431.81781006,8.45436001,4316.3,1.76417165717612,87,87,80,3.404,34.9607746948101,84.8394848926625,18.9,15.5,6.3,24.6,24.19978552,41.9,2908,7.93390608,34.26001747,2446644,1181378,1265266,"Moderate","Sub-Saharan Africa","High"
"NEPAL","NPL",32.9,1185.68231813605,77.18,52.83312607,4.44525433,13860.5,0.480724943133609,93,93,92,2.08,72.8801279481259,90.2863663521825,4.8,31.5,13.8,49.1,83.10319363,29.3,17603,57.91304016,30.59727036,28832496,13704208,15128288,"Very High","South Asia","High"
"NIGERIA","NGA",12.8,2334.02354308408,80.81,69.68148041,2.98547053,119544.1,0.588005207479626,56,56,57,5.379,43.27675278374,74.7241263304551,12,3.9,0.5,7.2,70.39625682,116.8,873031,71.49702454,49.82018778,203304492,102680839,100623652,"Very High","Sub-Saharan Africa","High"
"OMAN","OMN",100,19132.1522739094,0.01,728.25482178,4.39142513,75744.8,16.4563584347506,99,99,99,2.776,99.3200376001363,91.8882639823975,8.8,7.9,0.4,15.4,44.57247023,10.6,959,5.9613471,43.41379755,4602768,2924701,1678067,"High","Middle East and North Africa","Low"
"PAKISTAN","PAK",47.6,1437.1658337701,45.88,37.22461343,2.84736937,184096.3,0.824459652346009,84,84,81,3.62,65.3899355736604,90.1906503511874,14.1,20.8,7.7,33.9,62.57424987,67.5,422509,56.28123103,20.95047069,223293280,113015042,110278237,"Very High","South Asia","High"
"PANAMA","PAN",100,16472.8317548406,18.91,1318.03759766,8.32831192,13099.9,3.09505043316861,88,88,97,2.375,83.3785517603304,94.182498815948,5.4,5.3,2.3,8.2,13.20059479,14.8,1153,36.57320404,482.04860725,4232532,2118501,2114030,"Moderate","Latin America and Caribbean","Low"
"PAPUA NEW GUINEA","PNG",9.3,2593.77579783693,53.12,60.31322479,2.32528329,7467.5,0.782552890305524,35,35,37,3.322,19.1492872746707,47.0767255901086,21.9,39.9,25.6,54.2,16.2311858,45.5,11306,9.52710056,5.74610165,9542486,4936763,4605722,"Moderate","East Asia and Pacific","High"
"PARAGUAY","PRY",68.5,5807.83881414187,60.09,415.88879395,7.16429377,8101.6,1.24066887329392,86,86,87,2.525,91.7156741252874,99.5911140188522,8.2,12.1,4.7,19.5,12.51891553,19.4,2691,41.96775436,174.53918577,6530026,3280434,3249592,"Moderate","Latin America and Caribbean","Low"
"PERU","PER",82.4,6955.88176963678,27.14,366.56491089,5.21140051,56972.2,1.73564177469023,88,88,85,2.242,76.7094387871209,93.0032366873463,8.1,8.7,3.2,14.1,30.82669477,14.9,8693,28.13241577,103.12357045,32824861,16268182,16556679,"High","Latin America and Caribbean","Low"
"PHILIPPINES","PHL",46.3,3413.8490672059,26.8,142.23664856,4.16646004,145871.3,1.32152779028498,71,71,75,2.805,81.2510265893959,93.6373567501473,5.5,23.4,6.7,40,18.82613108,27.3,66326,48.78687668,69.39282548,110380804,56011134,54369671,"Moderate","East Asia and Pacific","High"
"POLAND","POL",100,15700.0135796738,15.62,1014.03820801,6.44682503,294948.3,7.76885578278686,95,91,93,1.44,98.9575335757009,91.8196871808371,2.5,24.7,20.7,28.6,22.6420051,4.4,1728,20.44481277,207.31822029,37965475,18370296,19595179,"Moderate","Europe and Central Asia","Low"
"PORTUGAL","PRT",100,23330.8172889316,28.19,2221.73095703,9.51379871,44564.7,4.33244804259817,99,98,99,1.43,99.6451165848976,99.2195941125794,2.5,25.3,20,30.6,8.254802244,3.4,295,30.6072464,680.01071667,10286263,4855992,5430271,"Low","Europe and Central Asia","Low"
"ROMANIA","ROU",100,12957.9991142218,23.54,738.5581665,5.74023104,73942.8,3.81706295716296,88,90,90,1.77,86.5415830093919,99.9999996798846,2.5,28.4,20.2,36.5,15.67108952,7,1458,18.87716675,139.41885578,19371648,9377040,9994608,"Moderate","Europe and Central Asia","Low"
"RUSSIAN FEDERATION","RUS",78.5,11536.2587890625,3.22,653.99993896,5.64849091,1703588.7,11.7971941673637,97,97,98,1.504,88.7074197923604,96.7955268787445,2.5,27.1,12.7,41.5,11.59553193,5.8,9327,36.57374573,239.19226901,144406261,67076532,77329730,"Moderate","Europe and Central Asia","Low"
"RWANDA","RWA",3.2,806.128014394646,81.8,51.0831871,6.33025074,1451.1,0.113057797770289,98,98,96,3.939,71.2065248746041,62.4117359707321,35.2,14.1,7.4,20.8,36.18491574,42.1,16305,12.13210678,6.19746619,12835028,6266092,6568936,"High","Sub-Saharan Africa","High"
"SAMOA","WSM",35.3,4308.30145287685,34.21,239.13195801,6.01635885,278.7,1.31521200537977,68,68,96,4.047,96.8442592798373,96.4228349677627,4.4,25.9,14.9,36.8,11.01483371,17.5,104,10.72247601,25.64086578,211905,108147,103759,"Moderate","East Asia and Pacific","Low"
"SAO TOME AND PRINCIPE","STP",3.09999999999999,1991.73826385183,38.62,104.94572449,5.22996283,140.2,0.6533115252168,95,95,95,3.964,45.1201003296246,77.335780426244,13,5.8,1.4,10.1,31.05885758,17.1,108,18.28590775,19.19027791,214599,107123,107476,"High","Sub-Saharan Africa","Low"
"SENEGAL","SEN",28.6,1462.6783520711,36.89,65.75260925,4.49531031,12297.8,0.768574983933597,95,96,89,4.517,57.0490341820529,82.6975294805221,7.4,7.1,0.7,13.5,60.21139678,41.8,21968,48.74660873,32.05216489,16000781,7860618,8140163,"Very High","Sub-Saharan Africa","High"
"SERBIA","SRB",78.2,7417.20658487785,21.53,641.03216553,8.66556168,46030.1,6.62757991630233,97,94,87,1.52,97.8970216521443,94.9123598279511,3.7,40.1,39,41.1,25.35417205,5.7,395,37.0638237,237.59102593,6945235,3330387,3614847,"High","Europe and Central Asia","Low"
